:START_ID,:END_ID,:TYPE
0,1,包括
0,2,包括
1,3,包括
1,4,包括
1,5,包括
3,6,包括
3,7,包括
3,8,包括
7,9,包括
7,10,包括
7,11,包括
7,12,包括
7,13,包括
8,14,包括
8,15,包括
8,16,包括
8,17,包括
8,18,包括
4,19,包括
4,20,包括
4,21,包括
20,22,包括
20,23,包括
20,24,包括
21,25,包括
21,26,包括
21,27,包括
25,28,包括
25,29,包括
25,30,包括
25,31,包括
25,32,包括
26,33,包括
26,34,包括
26,35,包括
26,36,包括
27,37,包括
27,38,包括
27,39,包括
27,40,包括
5,41,包括
5,42,包括
41,43,包括
41,44,包括
41,45,包括
42,46,包括
42,47,包括
42,48,包括
46,49,包括
46,50,包括
46,51,包括
47,52,包括
47,53,包括
47,54,包括
47,55,包括
2,56,包括
2,57,包括
2,58,包括
2,59,包括
2,60,包括
2,61,包括
2,62,包括
2,63,包括
2,64,包括
56,65,包括
56,66,包括
56,67,包括
56,68,包括
66,69,包括
66,70,包括
66,71,包括
69,72,包括
69,73,包括
69,74,包括
72,75,包括
72,76,包括
72,77,包括
73,78,包括
73,79,包括
73,74,包括
67,80,包括
67,81,包括
80,82,包括
80,83,包括
81,84,包括
81,85,包括
81,86,包括
68,87,包括
68,88,包括
68,89,包括
68,90,包括
57,91,包括
57,92,包括
57,93,包括
57,94,包括
57,95,包括
92,96,包括
92,97,包括
92,98,包括
93,99,包括
93,100,包括
94,101,包括
94,102,包括
94,103,包括
95,104,包括
95,105,包括
95,106,包括
58,107,包括
58,108,包括
58,109,包括
58,110,包括
58,111,包括
108,112,包括
108,113,包括
108,114,包括
109,115,包括
109,116,包括
109,117,包括
109,118,包括
110,119,包括
110,120,包括
110,121,包括
119,122,包括
119,123,包括
120,124,包括
120,125,包括
59,126,包括
59,127,包括
59,128,包括
59,129,包括
59,130,包括
127,131,包括
127,132,包括
127,133,包括
128,134,包括
128,135,包括
129,136,包括
129,137,包括
137,138,包括
137,139,包括
137,140,包括
130,141,包括
130,142,包括
130,143,包括
60,144,包括
60,145,包括
60,146,包括
60,147,包括
60,148,包括
145,149,包括
145,150,包括
145,151,包括
146,152,包括
146,153,包括
147,154,包括
147,155,包括
147,156,包括
156,157,包括
156,158,包括
156,159,包括
156,160,包括
61,161,包括
61,162,包括
61,163,包括
61,164,包括
61,165,包括
61,166,包括
61,167,包括
163,168,包括
163,169,包括
163,170,包括
164,171,包括
164,172,包括
164,173,包括
164,174,包括
164,175,包括
171,176,包括
171,177,包括
172,178,包括
172,179,包括
174,180,包括
174,181,包括
166,182,包括
166,183,包括
166,184,包括
62,185,包括
62,186,包括
62,187,包括
62,188,包括
62,189,包括
62,190,包括
62,191,包括
62,192,包括
188,193,包括
188,194,包括
188,195,包括
189,196,包括
189,197,包括
189,198,包括
189,199,包括
189,200,包括
189,201,包括
190,202,包括
190,203,包括
190,204,包括
203,205,包括
203,206,包括
203,207,包括
203,208,包括
203,209,包括
191,210,包括
191,211,包括
191,212,包括
191,213,包括
192,214,包括
192,215,包括
192,216,包括
192,217,包括
192,218,包括
192,219,包括
192,220,包括
192,221,包括
63,222,包括
63,223,包括
63,224,包括
63,225,包括
63,226,包括
223,227,包括
223,228,包括
223,229,包括
224,230,包括
224,231,包括
224,232,包括
225,233,包括
225,234,包括
225,235,包括
225,236,包括
235,237,包括
235,238,包括
235,239,包括
226,240,包括
226,241,包括
226,242,包括
226,243,包括
240,244,包括
240,245,包括
244,246,包括
244,247,包括
244,248,包括
245,249,包括
245,250,包括
241,251,包括
241,252,包括
241,253,包括
242,254,包括
242,255,包括
242,256,包括
242,257,包括
243,258,包括
243,259,包括
243,260,包括
64,261,包括
64,262,包括
64,263,包括
64,264,包括
261,265,包括
261,266,包括
266,267,包括
266,268,包括
266,269,包括
262,270,包括
262,271,包括
271,272,包括
271,273,包括
271,274,包括
263,275,包括
263,276,包括
